Crestview,-75.737956709,45.3443876329
Bellevue Manor,-75.7388685688,45.3722331541
Dutchie's Hole,-75.6680986411,45.4207846953
Bingham,-75.6957071427,45.4336451078
Alvin Heights,-75.6510087037,45.4514795644
Balena,-75.6434139639,45.4050599869
Bel Air,-75.7623776231,45.3575085307
Raven,-75.740427905,45.376538041
Britannia,-75.7993515813,45.3606379108
Chaudiere,-75.7135387006,45.4098499255
Parkdale,-75.7302303509,45.4013866191
Alta Vista,-75.6663971454,45.383081724
Cecil Morrison,-75.6459961156,45.4171758918
Heron,-75.6772655308,45.3795554083
Brantwood,-75.6716217857,45.406132204
Lisa,-75.7888849357,45.3442036116
McKellar,-75.7663355603,45.3833562993
Overbrook,-75.6571210276,45.425063416
Owl,-75.6647965012,45.3543881008
Pushman,-75.6482527739,45.3595895954
Sandy Hill,-75.6767917863,45.421628375
Westboro,-75.7530129057,45.3839061482
Windsor,-75.675937218,45.3945321862
Frank Ryan,-75.7891377651,45.3561815721
Strathcona,-75.6727068664,45.4281432088
Greenboro,-75.6364462328,45.3632979327
Sylvia Holden,-75.6821864495,45.4025704949
Kiwanis,-75.653146264,45.4366503778
Entrance,-75.8167560952,45.3263189482
General Burns,-75.7206819223,45.3517223372
Corkstown,-75.8273327877,45.3460922812
Pauline Vanier,-75.676559015,45.3667101689
St. Luke's,-75.6869647592,45.4151326566
Canterbury,-75.6288326548,45.3895216423
Alda Burt,-75.6256670014,45.4027330684
Hawthorne,-75.615926705,45.3936808992
Weston,-75.6261346777,45.3959627165
Michèle,-75.8020190093,45.3548865822
Parkway,-75.7759308038,45.3563127839
Ruth Wildgen,-75.795748544,45.3514357497
Agincourt,-75.7536094457,45.3595922312
Elizabeth Manley,-75.6193696482,45.369990709
Jules Morin,-75.6815427723,45.4334974865
Kingsmere,-75.7625479468,45.364924159
Carleton Heights,-75.7025419161,45.35963576
Rideauview,-75.7067370855,45.3679072828
Frank Licari,-75.6570863035,45.3688608604
Optimiste,-75.6685078607,45.4422376614
Glen Cairn,-75.885043214,45.2955239882
Bearbrook,-75.5636714642,45.4341585959
Iona,-75.7424720367,45.3924258242
Meadowvale,-75.7247769626,45.3782814508
Reid,-75.7238998348,45.3980994931
Hampton,-75.7383634442,45.3874295306
St-Laurent,-75.6484901442,45.4363512554
St. Paul's,-75.648131261,45.4300414566
Woodroffe,-75.7722570473,45.3760798733
Lions,-75.7523204785,45.3942777081
McNabb,-75.7027449804,45.4089761804
Alexander,-75.731638586,45.3803301938
Champlain,-75.7449645099,45.4043158999
Ev Tremblay,-75.7114829285,45.3993461108
